TUDNIVALÓK	TUDNI+VALÓ(K)
rendelvényre	rendelvényre
Azonban	Azonban
vizsgálatba	vizsgálatba
belépéskor	belépéskor
aszpartámot	aszpartámot
édesítőszerként	édes|ítő+szer(ként)
időtartama	idő+tartam(a)
Ismételt	Ismételt
virológiai	virológiai
előrejelezhetősége	előre+jelez(hetősége)
Elméletileg	Elméletileg
túladagolás	túl+adagol(ás)
gátlást	gátlást
okozhat	okozhat
ellenére	ellenére
elővigyázatosság	elő+vigyázat|osság
hányinger/	hány+inger/
dsypepsia/	dsypepsia/
gyomorégés	gyomor+égés
Rasilez	Rasilez
Arzneimittel	Arzneimittel
helyzetben	helyzetben
Egerekben	Egerekben
mindössze	mind+össze
májadenomák	májadenomák
carcinomák	carcinomák
incidenciája	incidenciája
azokban	azokban
adaggal	adaggal
amelyeknél	amelyeknél
történt	történt
Catalent	Catalent
Packaging	Packaging
Headway	Headway
Northamptonshire	Northamptonshire
Britannia	Britannia
Alapimmunizálás	alap+immunizálás
Retacritval	Retacritval
bizottság	bizottság
következtetése	következtetése
Atripla	Atripla
kényelmes	kényelmes
"naponta	"naponta
tabletta"	tabletta"
formájú	formájú
alacsony	alacsony
vírusterhelést	vírus+terhelés(t)
fenntartani	fenntartani
elegendő	elegendő
betegekkel	betegekkel
előzőleg	előzőleg
részesültek	részesültek
kezelésben	kezelésben
Myozyme	Myozyme
pótolja	pótolja
glukozidáz	glukozidáz
elnevezésű	elnevezésű
enzimet	enzimet
betegségben	betegségben
szenvedőknél	szenvedőknél
hiányzik	hiányzik
Világossárga	világos+sárga
bikonvex	bikonvex
oldalon	oldalon
másikon	másikon
felirattal	felirattal
kesztyűt	kesztyűt
széleskarimájú	széles+karimÁ(jú)
kalapot	kalapot
kölcsönhatás	kölcsön+hatás
epoetin	epoetin
hematológiai	hematológiai
differenciáció	differenciáció
biopsziás	biopsziás
proliferációja	proliferációja
Company	Company
Operations	Operations
Fleming	Fleming
Liverpool	Liverpool
Szcintillációs	Szcintillációs
Gastrointes	Gastrointes
tinalis	tinalis
Sanofi-	Sanofi-
Aventis	Aventis
inzulinnal	inzulinnal
keverhető	keverhető
inzulinpumpákhoz	inzulin+pumpÁ(khoz)
speciális	speciális
inzulinokat	inzulinokat
tünetei	tünetei
pruritus	pruritus
pigmentációja	pigmentációja
izzadás	izzadás
rheumatoid	rheumatoid
arthritis	arthritis
psoriatica	psoriatica
szakorvosnak	szak+orvos(nak)
megkezdenie	megkezdenie
ellenőriznie	ellenőriznie
Copalia-	Copalia-
mellett	mellett
hipotónia	hipotónia
beteget	beteget
hanyatt	hanyatt
fektetni	fektetni
fiziológiás	fiziológiás
sóoldatot	só+oldat(ot)
tyúktojásban	tyúk+tojás(ban)
tenyésztett	tenyésztett
formaldehiddel	formaldehiddel
inaktivált	inaktivált
influenzavírus	influenza+vírus
felszínéről	felszínéről
távolítják	távolítják
életkor	életkor
gyermekek	gyermekek
szedhetik	szedhetik
Norvirt	Norvirt
AMMONAPS	AMMONAPS
ammóniatartalmának	ammónia+tartalmá(nak)
emelkedését	emelkedését
meggátolni	meggátolni
alkalmas	alkalmas
beavatkozást	beavatkozást
igénylő	igénylő
állapot	állapot
helyettesítő	helyettesítő
filgrasztim	filgrasztim
ugyanúgy	ugyan+úgy
természetes	természetes
termelődő	termelődő
csontvelőt	csont+velő(t)
fehérvérsejt	fehér+vér+sejt
termelésére	termelésére
serkenti	serkenti
INCRELEX	INCRELEX
Mecaszermin	Mecaszermin
levodopa	levodopa
karbidopa	karbidopa
entakapon	entakapon
Bizonyosodjunk	Bizonyosodjunk
medikált	medikált
eledelt	eledelt
elfogyasztotta-	elfogyasztotta-
mikrogramm	mikro+gramm
Hyperbilirubinaemia	Hyperbilirubinaemia
gyakrabban	gyakrabban
jelentkezett	jelentkezett
meghaladó	meghaladó
rifabutin	rifabutin
tipranavir	tipranavir
értékét	értékét
gyógyszermellékhatást	gyógyszer+mellék+hatás(t)
biztonságossági	biztonságossági
adatbázisba	adat+bázis(ba)
ezeknek	ezeknek
reakcióknak	reakcióknak
megbízhatóan	megbízhatóan
meghatározni	meghatározni
sejtfelszínről	sejt+felszín(ről)
internalizálódik	internalizálódik
kötődéssel	kötődéssel
pezsgőgranulátum	pezsgő+granulátum
feloldása	feloldása
vakcina-	vakcina-
szuszpenzió	szuszpenzió
hozzáadása	hozzáadása
ivóvizet	ivó+vIz(et)
készítsen	készítsen
amennyi	amennyi
folyadékigény	folyadék+igény
kielégítéséhez	kielégítéséhez
szereléken	szereléken
hatásosság	hatásosság
mércéje	mércéje
elteltével	elteltével
reagáltak	reagáltak
kezelésre	kezelésre
pontszámai	pont+szám(ai)
javultak	javultak
értékelte	értékelte
benyújtott	benyújtott
megfogalmazási	megfogalmazási
javaslatot	javaslatot
különös	különös
figyelmet	figyelmet
szentelt	szentelt
kérdéseknek	kérdéseknek
Vemhesség	Vemhesség
laktáció	laktáció
pszichiátriai	pszichiátriai
felnőttek	felnőttek
antidepresszánsokat	anti+depresszáns(okat)
vizsgáló	vizsgáló
placebo-	placebo-
kontrollos	kontrollos
metaanalízise	metaanalízise
kimutatta	kimutatta
fiatalabb	fiatalabb
öngyilkos	ön+gyilkos
magatartás	magatartás
kockázata	kockázata
antidepresszánst	antidepresszánst
szedőknél	szedőknél
fokozottabb	fokozottabb
placebót	placebót
foglalja	foglalja
szereket	szereket
óvatosan	óvatosan
Renagel	Renagel
felírásakor	felírásakor
megkezdhető	megkezdhető
Alexion	Alexion
Francja	Francja
ALKALMAZÁSI	ALKALMAZÁSI
ELŐÍRÁS	ELŐÍRÁS
MÓDOSÍTÁSÁNAK	MÓDOSÍTÁSÁNAK
INDOKLÁSA	INDOKLÁSA
Beszélje	Beszélje
egyáltalán	egyáltalán
vezethet-	vezethet-
kezelhet-	kezelhet-
hipoglikémiás	hipoglikémiás
reakciója	reakciója
reakciót	reakciót
nehezen	nehezen
alkalmaz	alkalmaz
amennyire	amennyire
szüksége	szüksége
vércukorszint	vér+cukor+szint
korreláció	korreláció
májbetegség	máj+betegség
súlyossága	súlyossága
vildagliptin-	vildagliptin-
expozíció	expozíció
változásai	változásai
Esetenként	Esetenként
invazív	invazív
endoszkópos	endoszkópos
módszerekkel	módszerekkel
elkülönítő	elkülönítő
diagnózisra	diagnózisra
kizárása	kizárása
érdekében	érdekében
autoimmun	autoimmun
gastritis	gastritis
malignus	malignus
folyamatok	folyamatok
hipoglikémia	hipoglikémia
figyelmeztet	figyelmeztet
jelentkezhetnek	jelentkezhetnek
következ	következ
nyilvánulhatnak	nyilvánulhatnak
szapora	szapora
émelygés	émelygés
látászavarok	látás+zavar(ok)
bágyadtság	bágyadtság
szokatlan	szokatlan
fáradtság	fáradtság
gyengeség	gyengeség
szorongó	szorongó
zavarodottság	zavarodottság
koncentrálási	koncentrálási
nehézség	nehézség
folyamat	folyamat
magasabb	magasabb
következménye	következménye
vérnyomáscsökkentő	vér+nyomás+csökkentő
megkezdésétől	megkezdésétől
számított	számított
javasolta	javasolta
MabCampath-	MabCampath-
kiadását	kiadását
hasznosság	hasznosság
kérdésével	kérdésével
kielégítően	kielégítően
foglalkoztak	foglalkoztak
elfogadta	elfogadta
megfogalmazást	megfogalmazást
véleménye	véleménye
következtetés	következtetés
vonható	vonható
kontrasztanyagként	kontraszt+anyag(ként)
Gadovistot	Gadovistot
Magnevistet	Magnevistet
alkalmazó	alkalmazó
eljárásokat	eljárásokat
veseelváltozások	vese+elváltozás(ok)
jóindulatú	jó+indulat|ú
rosszindulatú	rossz+indulat|ú
jellegének	jellegének
megállapítása	megállapítása
Gadovist	Gadovist
diagnosztikai	diagnosztikai
hatékonysága	hatékonysága
igazolást	igazolást
illetően	illetően
hozatal	hozatal
spontán	spontán
jelentések	jelentések
benyújtásának	benyújtásának
tisztázását	tisztázását
szakaszban	szakaszban
használat	használat
jelentkező	jelentkező
mellékhatásokra	mellék+hatás(okra)
valamennyi	valamennyi
táblázatban	táblázatban
alkalmazandó	alkalmazandó
felülvizsgált	felül+vizsgál|t
kifejezések	kifejezések
listájára	listájára
deferipront	deferipront
testtömegkilogramm	test+tömeg+kilogramm
arányban	arányban
adagolják	adagolják
orálisan	orálisan
alkalommal	alkalommal
testtömegkilogrammnak	test+tömeg+kilogramm(nak)
tablettára	tablettára
kerekítve	kerekítve
számítandó	számítandó
serdülőkorúak	serdül|ő+kor|ú(ak)
bármelyik	bármelyik
gyógyszerformát	gyógyszer+formÁ(t)
NovoMix	NovoMix
szennyvízzel	szenny+víz(zel)
háztartási	háztartási
hulladékkal	hulladékkal
megsemmisíteni	megsemmisíteni
pivotális	pivotális
kettős-	kettős-
abbahagyták	abbahagyták
Humira-	Humira-
betegcsoportban	beteg+csoport(ban)
Azoknál	Azoknál
előzetesen	előzetesen
mellitus-	mellitus-
diagnosztizáltak	diagnosztizáltak
szomatropin-	szomatropin-
megkezdésekor	megkezdésekor
antidiabetikus	anti+diabetikus
módosítása	módosítása
EXUBERA	EXUBERA
március	március
legutolsó	legutolsó
Zidovudinnal	Zidovudinnal
expozíciója	expozíciója
emelkedik	emelkedik
csúcskoncentráció	csúcs+koncentráció
Anaemia	Anaemia
Thrombocytopenia	Thrombocytopenia
Immeuble	Immeuble
Général	Général
Puteaux	Puteaux
Franciaország	Francia+ország
tolerálja	tolerálja
sebességét	sebességét
fokozatosan	fokozatosan
színének	színének
elváltozása	elváltozása
írisszel	írisszel
rendelkező	rendelkező
tapasztalható	tapasztalható
kékesbarna	kék|es+barna
szürkésbarna	szürkÉ|s+barna
sárgásbarna	sárgÁ|s+barna
zöldesbarna	zöld|es+barna
szemszín	szem+szín
jelenséget	jelenséget
megfigyelték	megfigyelték
leggyakoribb	leggyakoribb
pyrexia	pyrexia
Gyrablock	Gyrablock
Nyulakon	Nyulakon
szisztémás	szisztémás
szeresének	szeresének
befejezetlen	befejezetlen
csontosodás	csontosodás
incidenciáját	incidenciáját
párhuzamosan	párhuzamosan
megfigyelt	megfigyelt
állatokkal	állatokkal
IMPRIDA-	IMPRIDA-
Felszívódás	Felszívódás
specifikus	specifikus
plazmaészterázok	plazmaészterázok
végrehajtott	végre+hajt|ott
hidrolízis	hidrolízis
fezoterodin	fezoterodin
mutatható	mutatható
plazmában	plazmában
pozitív	pozitív
szakvéleményt	szak+vélemény(t)
amelyben	amelyben
Risperdal	Risperdal
előírásának	elő+írás(ának)
címkeszövegének	címke+szöveg(ének)
betegtájékoztatójának	beteg+tájékoztató(jának)
harmonizálását	harmonizálását
RIBAVIRIN	RIBAVIRIN
legtöbb	legtöbb
hónapja	hónapja
Mindazonáltal	Mindazonáltal
figyelembe	figyelembe
vesszük	vesszük
biztonsági	biztonsági
profilt	profilt
megnövekedett	megnövekedett
kockázati	kockázati
előfordulást	előfordulást
moxifloxacin	moxifloxacin
kezdeti	kezdeti
antibakteriális	anti+bakteriális
célszerűnek	cél+szerű(nek)
szervezete	szervezete
egyértelműen	egy+értelmű(en)
reagált	reagált
vérszegénység	vér+szegénység
gyógyszerekre	gyógy+szer(ekre)
Nasopharyngitis	Nasopharyngitis
nátrium-	nátrium-
gyógyszerrel	gyógy+szer(rel)
visszaélés	visszaélés
lehetősége	lehetősége
farmakokinetikájáról	farmakokinetikájáról
végeztek	végeztek
májkárosodott	máj+kár|os(odott)
májkárosodás	máj+kár|os(odás)
tanácsos	tanácsos
Stalevo	Stalevo
elővigyázatosságot	elővigyázatosságot
tanúsítani	tanúsítani
kizárólag	kizárólag
meddőséget	meddőséget
kórfolyamatokat	kór+folyamat(okat)
kezelésükben	kezelésükben
orvosok	orvosok
alkalmazhatják	alkalmazhatják
Emselex	Emselex
amelyek	amelyek
mindenkinél	mindenkinél
jelentkeznek	jelentkeznek
IntronA	IntronA
adagjának	adagjának
kimérése	kimérése
Távolítsa	Távolítsa
védőkupakját	védő+kupak(ját)
Hígítás	Hígítás
buszulfán/	buszulfán/
oldatot	oldatot
Business	Business
vizsgálatban	vizsgálatban
populációjához	populációjához
asztmás	asztmás
betegben	betegben
hatásosságát	hatásosságát
biztonságosságát	biztonságosságát
szoptatás	szoptatás
befolyásolta	befolyásolta
duloxetin	duloxetin
patkány	patkány
QI06AH08	QI06AH08
transzfer-	transzfer-
szorosan	szorosan
csavarja	csavarja
fecskendőre	fecskendőre
hatásmódja	hatás+mód(ja)
Holland	Holland
Dicuralra	Dicuralra
Rágcsálókkal	Rágcsálókkal
elvégzett	elvégzett
hatóanyag	hat|ó+anyag
fajspecifikus	faj+specifikus
vetélést	vetélést
okozott	okozott
eredményei	eredményei
mutatják	mutatják
baktériumok	baktériumok
bizonyos	bizonyos
csoportjainál	csoportjainál
hatékonyan	hatékonyan
gátolja	gátolja
szaporodását	szaporodását
köhögés	köhögés
hosszabb	hosszabb
tarthat	tarthat
celekoxib-	celekoxib-
szakítani	szakítani
nyálkahártya-	nyálka+hártya+
elváltozások	elváltozások
túlérzékenység	túl+érzékenység
jelének	jelének
megjelenésekor	megjelenésekor
Pasteur	Pasteur
Belgard	Belgard
Tallaght	Tallaght
Ireland	Ireland
Revlimid-	Revlimid-
eredmények	eredmények
kedvezőbbek	kedvezőbbek
lopinavir/	lopinavir/
ritonavirra	ritonavirra
részleteket	részleteket
Neurotoxicitás	Neurotoxicitás
ciszplatin	ciszplatin
dózismódosítását	dózis+módosítás(át)
mutatja	mutatja
KÖZVETLEN	KÖZVETLEN
cetirizin	cetirizin
plazmafehérjékhez	plazma+fehérjÉ(khez)
kötődése	kötődése
gyógyszertárát	gyógy+szer+tár(át)
TESAVEL	TESAVEL
Puregon	Puregon
hatásosnak	hatásosnak
Bevezetés	Bevezetés
Poliszorbát	Poliszorbát
foszfát	foszfát
dibázis	dibázis
heptahidrát	heptahidrát
monobázis	monobázis
monohidrát	monohidrát
Injekcióhoz	Injekcióhoz
aminotranszferáz	aminotranszferáz
emelkedése	emelkedése
folytatásával	folytatásával
reverzibilissé	reverzibilissé
ezekben	ezekben
vérlemezkeszámot	vér+lemezke+szám(ot)
hetente	hetente
Nycomed	Nycomed
Oranienburg	Oranienburg
Lehnitzstrasse	Lehnitzstrasse
Németország	Német+ország
Általában	Általában
testtömegű	test+tömeg|ű
igényelnek	igényelnek
feletti	feletti
Olanzapin	Olanzapin
mindkét	mindkét
ProMeris	ProMeris
méretben	méretben
kapható	kapható
szervek	szervek
normálisan	normálisan
egymással	egymással
összeköttetésben	összeköttetésben
szövetek	szövetek
kezelőorvos	kezel|ő+orvos
súlyosnak	súlyosnak
tesztoszteron	tesztoszteron
véráramban	vér+áram(ban)
keringő	keringő
elsődleges	elsődleges
androgén	androgén
természetesen	természetesen
petefészkek	pete+fészk(ek)
mellékvese	mellék+vese
termelt	termelt
szteroid	szteroid
abbahagyása	abbahagyása
alakult	alakult
meghatározott	meghatározott
hullámhosszú	hullám+hossz(ú)
fénnyel	fénnyel
világítják	világítják
tumorban	tumorban
intenzív	intenzív
egészséges	egészséges
agyszövet	agy+szövet
látszik	látszik
címkéjén	címkéjén
felhasználni	felhasználni
kivételes	kivételes
kezeléssel	kezeléssel
összefüggő	összefüggő
placebóhoz	placebóhoz
incidenciával	incidenciával
fordultak	fordultak
elhízott	elhízott
diabeteses	diabeteses
betegeken	betegeken
peginterferon	peginterferon
használatra	használatra
adagolása	adagolása
clearance	clearance
Emellett	Emellett
eltéréseket	eltéréseket
észlelhet	észlelhet
vizeletvizsgálati	vizelet+vizsgálat|i
eredményeiben	eredményeiben
Gottlieb-	Gottlieb-
Daimler-	Daimler-
SPRYCEL	SPRYCEL
Atriance	Atriance
Luveris-	Luveris-
Metabolitjai	Metabolitjai
dezmetil	dezmetil
hidroximetil	hidroximetil
származékai	származékai
citokróm-	citokróm-
közremű	közremű
ködésével	ködésével
szignifikánsan	szignifikánsan
farmakológiai	farmakológiai
hatásúak	hatásúak
olanzapin	olanzapin
Tüdőszövődmények	tüdő+szövődmény(ek)
Vastúlterhelt	vas+túlterhel|t
thalassaemiás	thalassaemiás
émelygést	émelygést
hasmenést	has+menés(t)
megjegyzések	megjegyzések
Kövesse	Kövesse
orvosának	orvosának
higiénikus	higiénikus
beadási	beadási
módjára	módjára
utasításait	utasításait
próbálja	próbálja
inzulint	inzulint
adagológomb	adagol|ó+gomb
elfordításával	elfordításával
Folytassa	Folytassa
dózissal	dózissal
amelyekben	amelyekben
Galvus-	Galvus-
kiegészítőként	kiegészítőként
Icandra	Icandra
javallatú	javallatú
alátámasztására	alátámasztására
felhasználták	felhasználták
BETEGTÁJÉKOZTATÓ	beteg+tájékoztat|Ó
Zevalin	Zevalin
gyógyszerekkel	gyógy+szer(ekkel)
kölcsönhatásokat	kölcsön+hatás(okat)
részletesen	részletesen
hozatala	hozatala
izolált	izolált
előfordulásáról	előfordulásáról
különösen	különösen
gyógyszerkészítmények	gyógy+szer+készítmény(ek)
lecsökkentését	lecsökkentését
beszüntetését	beszüntetését
Kombinált	Kombinált
ribavirin	ribavirin
kapszulával	kapszulával
mikrogramm/	mikrogramm/
dózisban	dózisban
hetenként	hetenként
ViraferonPegt	ViraferonPegt
OptiClik-	OptiClik-
patronokat	patronokat
tervezték	tervezték
lehessen	lehessen
hozzájuk	hozzájuk
FABLYN-	FABLYN-
szoptat	szoptat
kiválasztódhat	kiválasztódhat
angiotenzin-	angiotenzin-
receptor	receptor
valzartánnal	valzartánnal
kombinációban	kombinációban
Sprimeo	Sprimeo
additív	additív
kifejezetten	kifejezetten
hatásának	hatásának
tanulmányozására	tanulmányozására
tervezett	tervezett
társfertőzésben	társ+fertőzés(ben)
kapjanak	kapjanak
genotípus	genotípus
RotaTeqet	RotaTeqet
eltelnie	eltelnie
beszélte	beszélte
Ezekben	Ezekben
legelterjedtebb	legelterjedtebb
rotavírus	rotavírus
szerotípus	szerotípus
szerotípusokat	szerotípusokat
kevésbé	kevésbé
azonosították	azonosították
elhalaszthatja	elhalaszthatja
általános	általános
állapotától	állapotától
függően	függően
vérképe	vérképe
Triatec	Triatec
tabletter	tabletter
Ramipril	Ramipril
Pramace	Pramace
kapslar	kapslar
megbeszélés	megbeszélés
eredményét	eredményét
nemzeti	nemzeti
illetékes	illetékes
hatóságnak	hatóságnak
jóváhagynia	jóváhagynia
tagállamban	tag+állam(ban)
profilaktikus	profilaktikus
csípőtáji	csípő+táj|i
helyreállító	hely(re)+állít|ó
Fejfájás	fej+fájás
beadásának	beadásának
fellépő	fellépő
Adagolás	Adagolás
étvágytalanság	ét+vágytalanság
édeskés	édeskés
lehelet	lehelet
közérzet	köz+érzet
állatokon	állatokon
jelenségek	jelenségek
természetűek	természetűek
interferonnal	interferonnal
megfigyeltek	megfigyeltek
menstruációs	menstruációs
kimaradása	kimaradása
Replagal	Replagal
betegség	betegség
anyagcsere-	anyag+csere-
orvosnak	orvosnak
felügyelnie	felügyelnie
Arthritis	Arthritis
összesített	összesített
követési	követési
analízisének	analízisének
legfontosabb	legfontosabb
hatásossági	hatásossági
eredményeit	eredményeit
ártalmatlansága	ártalmatlansága
igazolt	igazolt
tojásrakás	tojás+rakás
INTRONA	INTRONA
felszívódás	felszívódás
ütemétől	ütemétől
kezdeni	kezdeni
randomizált	randomizált
multinacionális	multinacionális
lamivudin-	lamivudin-
hasonlították	hasonlították
vizsgálati	vizsgálati
krónikus	krónikus
fertőzésben	fertőzésben
betegnél	betegnél
antinukleozid-	antinukleozid-
MELLÉKLET	MELLÉKLET
gondolja	gondolja
szedhet	szedhet
Xeloda-	Xeloda-
magának	magának
orvostól	orvostól
nővértől	nővértől
kiképzést	kiképzést
terápiát	terápiát
fertőzöttek	fertőzöttek
elrendelnie	elrendelnie
Mycamine-	Mycamine-
szirolimuszt	szirolimuszt
nifedipint	nifedipint
itrakonazolt	itrakonazolt
ellenőrizni	ellenőrizni
szirolimusz	szirolimusz
nifedipin	nifedipin
itrakonazol-	itrakonazol-
toxicitást	toxicitást
itrakonazol	itrakonazol
dózisát	dózisát
csökkenteni	csökkenteni
vérének	vérének
nátriumszintje	nátrium+szint(je)
valproinsav	valproinsav
flukonazol	flukonazol
metadon	metadon
zidovudinnal	zidovudinnal
együttadásakor	együtt+adás(akor)
zidovudin	zidovudin
csökken	csökken
prasugrel	prasugrel
láthatóvá	láthatóvá
befejeztéig	befejeztéig
tartályok	tartályok
paclitaxel/	paclitaxel/
cisplatin	cisplatin
lokálisan	lokálisan
előrehaladott	előre+halad|ott
metasztatikus	metasztatikus
kisejtes	kisejtes
tüdőcarcinomában	tüdőcarcinomában
kontrolllált	kontrolllált
bizonyítja	bizonyítja
venlafaxint	venlafaxint
kapszulák	kapszulák
szferoidokat	szferoidokat
tartalmaznak	tartalmaznak
amelyekből	amelyekből
szabadul	szabadul
tápcsatornába	táp+csatornÁ(ba)
túladagolásának	túl+adagolás(ának)
hypotonia	hypotonia
keringési	keringési
elektrolit	elektrolit
veseelégtelenség	vese+elégtelenség
hyperventilláció	hyperventilláció
palpitáció	palpitáció
bradycardia	bradycardia
Soliris-	Soliris-
antikoaguláns	antikoaguláns
Különleges	Különleges
etanercepttel	etanercepttel
szérumában	szérumában
etanercept	etanercept
antitesteket	anti+test(eket)
találtak	találtak
intrathecalis	intrathecalis
zikonotid	zikonotid
egyértelmű	egy+értelEm|ű
Autoinjektor	Autoinjektor
használatával	használatával
csökkenthető	csökkenthető
előfordulása	elő+fordulás(a)
bipoláris	bipoláris
affektív	affektív
típusában	típusában
Trevaclynra	Trevaclynra
Izomfájdalom	izom+fájdalom
ízületifájdalom	ízület|i+fájdalom
Allergiás	Allergiás
reakciókról	reakciókról
beszámoltak	beszámoltak
sokkhoz	sokkhoz
vezettek	vezettek
tablettákat	tablettákat
egészben	egészben
mennyiségű	mennyiségű
folyadékkal	folyadékkal
lenyelni	lenyelni
gátlását	gátlását
Mixtard?	Mixtard?
Védőlap	véd|ő+lap
potenciálisan	potenciálisan
elhúzódó	elhúzódó
immunszuppressziót	immunszuppressziót
okozhatnak	okozhatnak
adagolásuk	adagolásuk
megszüntetése	megszüntetése
tenofovir	tenofovir
elsősorban	első+sor(ban)
távozik	távozik
szervezetből	szervezetből
filtráció	filtráció
tubuláris	tubuláris
transzporter	transzporter
körülbelül	körül+belül
változatlan	változatlan
formában	formában
vizelettel	vizelettel
Temodal	Temodal
dazatinib	dazatinib
metabolitjai	metabolitjai
csekély	csekély
ürülnek	ürülnek
veséken	veséken
bármilyen	bármilyen
változást	változást
küllemén	küllemén
gyógyszerésszel	gyógy+szerész(szel)
GYÁRTÓJA/	GYÁRTÓJA/
GYÁRTÓI	GYÁRTÓI
GYÁRTÁSI	GYÁRTÁSI
TÉTELEK	TÉTELEK
VÉGFELSZABADÍTÁSÁÉRT	vég+felszabadítás(áért)
FELELŐS	FELELŐS
tárolási	tárolási
előírások	elő+írás(ok)
Segédanyagok	segéd+anyag(ok)
felsorolása	felsorolása
HASZNÁLATI	HASZNÁLATI
UTASÍTÁS	UTASÍTÁS
tőgyinfúzió	tőgy+infúzió
szarvasmarhának	szarvas+marhÁ(nak)
Ezenkívül	Ezenkívül
petefészek-	pete+fészek-
daganat	daganat
használatos	használatos
jutassa	jutassa
CYP3A4-	CYP3A4-
inhibitorok	inhibitorok
proteázgátlók	proteázgátlók
hatások	hatások
várhatóak	várhatóak
hasonlóképpen	hasonlóképpen
csökkentése	csökkentése
váltott	váltott
Viraferon	Viraferon
Macugen	Macugen
alkalmazásához	alkalmazásához
társuló	társuló
kockázatot	kockázatot
minimalizálni?	minimalizálni?
hosszúkás	hosszúkás
törésvonallal	törés+vonal(lal)
óvatossággal	óvatossággal
skandináv	skandináv
eredetű	eredetű
fajtáknál	fajtáknál
használjuk	használjuk
Econort	Econort
Szüksége	Szüksége
Semmisítse	Semmisítse
toldalék	toldalék
eszközt	eszközt
Figyelembe	Figyelembe
fejlődésére	fejlődésére
fogamzóképes	fogamzó+képes
fogamzásgátlást	fogamzás+gátlás(t)
alkalmazniuk	alkalmazniuk
emtricitabin-	emtricitabin-
húgyúti	húgyúti
Növekedési	Növekedési
elégtelen	elégtelen
termelése	termelése
növekedési	növekedési
Levemir	Levemir
InnoLet	InnoLet
tartalékként	tartalékként
magánál	magánál
hűtőszekrényben	hűt|ő+szekrény(ben)
tárolni	tárolni
terminális	terminális
felezési	felezési
jelentősen	jelentősen
változott	változott
áttöréses	áttöréses
időpontban	idő+pont(ban)
Kepivance	Kepivance
palifermin	palifermin
Intrinsa	Intrinsa
Közösségek	Közösségek
tisztviselőinek	tiszt+visel|ő(inek)
személyzeti	személyzeti
szabályzata	szabályzata
melléklete	melléklete
információért	információért
előírást	elő+írás(t)
hypersomnia	hypersomnia
letargia	letargia
figyelemzavar	figyelem+zavar
memóriazavar	memória+zavar
dysgeusia	dysgeusia
egyensúlyzavarok	egyensúly+zavar(ok)
látászavar	látás+zavar
gyógyszernek	gyógy+szer(nek)
Seretide	Seretide
Diskusnak	Diskusnak
lehetnek	lehetnek
mellékhatásai	mellék+hatás(ai)
atazanavir	atazanavir
monoterápiás	monoterápiás
intervallum	intervallum
úgynevezett	úgynevezett
citotoxikus	citotoxikus
csoportjába	csoportjába
tartozik	tartozik
FORSTEO	FORSTEO
mikroliter	mikroliter
tollban	tollban
Clopidogrel	Clopidogrel
összetevőiről	összetevőiről
laktózt	laktózt
hidrogénezett	hidrogénezett
ricinusolajat	ricinus+olaj(at)
adagjával	adagjával
tünetekről	tünetekről
cserélni	cserélni
szedése	szedése
vérzési	vérzési
kockázattal	kockázattal
ínyvérzés	íny+vérzés
Articularis	Articularis
tolerálhatóság	tolerálhatóság
kérdőívben	kérdő+ív(ben)
jegyezték	jegyezték
résztvevőknek	rész(t)+vevő(knek)
kellett	kellett
kitölteniük	kitölteniük
Luxemburgi	Luxemburgi
Fordítóközpont	fordít|ó+központ
szitagliptin	szitagliptin
mellékhatásokról	mellék+hatás(okról)
számolt	számolt
izommerevség	izom+merevség
vállalat	vállalat
továbbá	továbbá
dobozokat	dobozokat
biztosítani	biztosítani
amelyeken	amelyeken
illusztrációk	illusztrációk
használni	használni
Hatáserősség	hatás+erősség
nedvességtől	nedvességtől
arcduzzanat	arc+duzzanat
elrendezésben	elrendezésben
elrendezésű	elrendezésű
adagolási	adagolási
időszak	időszak
követte	követte
bromidot	bromidot
lehetett	lehetett
időszakonként	idő+szak(onként)
adagban	adagban
Hollands	Hollands
Haverhill	Haverhill
Suffolk	Suffolk
Egyesült	Egyesült
Királyság	Királyság
ViraferonPeg?	ViraferonPeg?
kullancsot	kullancsot
pusztította	pusztította
határozza	határozza
injekcióra	injekcióra
blokkolja	blokkolja
adrenerg	adrenerg
receptorokat	receptorokat
hisztaminerg	hisztaminerg
SZÖVEGE	SZÖVEGE
Silgard	Silgard
szuszpenziós	szuszpenziós
tűvédővel	tű+véd|ő(vel)
Baraclude?	Baraclude?
dózisra	dózisra
szükségük	szükségük
férfiaknak	férfiaknak
érzékenység	érzékenység
sanofi-	sanofi-
aventis	aventis
Zikonotiddal	Zikonotiddal
észlelhetők	észlelhetők
kognitív	kognitív
neuropszichiátriai	neuropszichiátriai
zavartság	zavartság
éberségre	éberségre
gépjárművezetés	gép+jármű+vezetés
OLANZAPIN	OLANZAPIN
Apidra-	Apidra-
dezirudin	dezirudin
szabadon	szabadon
alvadékhoz	alvadékhoz
thrombin	thrombin
szelektív	szelektív
inhibitora	inhibitora
Abraxane	Abraxane
sejtekre	sejtekre
vérsejtekre	vér+sejt(ekre)
idegsejtekre	ideg+sejt(ekre)
szérumkoncentrációk	szérum+koncentráció(k)
hónapos	hónapos
gyermeknél	gyermeknél
ugyanabban	ugyanabban
tartományban	tartományban
idősebb	idősebb
gyermekeknél	gyermekeknél
némelyik	némelyik
valószínűleg	valószínűleg
előfordulhatnak	előfordulhatnak
szintek	szintek
függőség	függőség
